Epoch,train_loss_tcga_quantum_20251203_164043,val_loss_tcga_quantum_20251203_164043
0,3.620513355030733,3.5701903104782104
1,3.5617541986353256,3.534096598625183
2,3.529291601742015,3.5038198232650757
3,3.4982266285840202,3.47490918636322
4,3.467187671100392,3.446725845336914
5,3.4369057767531452,3.419002652168274
6,3.4076974812675926,3.389157772064209
7,3.3788062123691334,3.3632144927978516
8,3.349448330262128,3.3353668451309204
9,3.3203002845539764,3.3064059019088745
10,3.2903520640204933,3.2787660360336304
11,3.2622080550474277,3.2525765895843506
12,3.234373878030216,3.225735902786255
13,3.2039866166956283,3.1938122510910034
14,3.168696123010972,3.1668156385421753
15,3.138942802653593,3.1403332948684692
16,3.1099689848282757,3.1143529415130615
17,3.083245501798742,3.087602972984314
18,3.0560779291040756,3.062597155570984
19,3.0320906498852898,3.04325270652771
20,3.007830633836634,3.022231101989746
21,2.9868968655081356,3.003389835357666
22,2.9670774936676025,2.9877307415008545
23,2.950117461821612,2.973226547241211
24,2.934712325825411,2.960720419883728
25,2.920057591269998,2.946491837501526
26,2.907723342671114,2.9380306005477905
27,2.8960376627304973,2.9272292852401733
28,2.8853973080130184,2.917226791381836
29,2.876609633950626,2.9096591472625732
30,2.8679080570445343,2.9030436277389526
31,2.8608228739570167,2.8978556394577026
32,2.8531626252567066,2.8892593383789062
33,2.8472332814160515,2.8863439559936523
34,2.841720034094418,2.8810619115829468
35,2.836717591566198,2.8774120807647705
36,2.8320117417503807,2.874123692512512
37,2.829414087183335,2.870833158493042
38,2.826408161836512,2.867764949798584
39,2.824078321456909,2.8664469718933105
40,2.821823302437277,2.864412546157837
41,2.8196846737581143,2.863018035888672
42,2.8174950936261345,2.861958861351013
43,2.8164918001960304,2.86102294921875
44,2.8159446295569923,2.860479235649109
45,2.8153720042284798,2.8598660230636597
46,2.815456180011525,2.859590172767639
47,2.8146298071917366,2.8594675064086914
48,2.8146439019371483,2.8593862056732178
49,2.8148761356578156,2.859378457069397
